,풀핏 프로폴리스 시너지 토너,올리고 히알루론산 7멀티 포뮬라 패드,프로 모이스처 크리미 토너,테르물레 클리어 패드,리페어레이션 에센스 토너,레스온스킨 에센스 패드,더 퍼스트 제너츄어 스킨 소프너,카렌듈라 앰플 토너,시카 토너 패드,바이바이 시카토너,하이포알러제닉 모이스처라이징 크림 보습패드,수딩 센서티브 워터,찹쌀 배리어 크림 스킨,비폴렌 리뉴 앰풀 스킨,파하 퍼스트 토너 (각질파토),데일리 필링 수영장 토너,퓨어 토너,원더 세라마이드 모찌 토너,아임 쏘리 포 마이 스킨 릴렉싱 토너,플라본 부스터,아토베리어 365 로션,인텐시브 로션,카밍릴리프 AI 리페어 로션,아토베리어 로션,셋업 에멀전,세라마이드 하이드라 플루이드,크리미 모이스춰라이저 딥 모이스트,밀키 모이스춰라이저 하이드라 밸런싱,수드 대나무 로션,어린쑥 수분진정 플루이드,수딩로션,데일리리페어 모이스처라이저
31,36.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.92682,0.0,0.0,0.0,0.0,0.0,67.81115,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0
32,20.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.70731,0.0,0.0,31.25,0.0,0.0,73.81974,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,71.42857
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.39024,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0
34,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.70731,0.0,0.0,0.0,0.0,0.0,87.55364,0.0,0.0,0.0,0.0,0.0,0.0,61.90476,0.0
35,43.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.82926,0.0,0.0,0.0,0.0,0.0,97.85407,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0
36,43.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21951,0.0,0.0,31.25,0.0,0.0,94.4206,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0
37,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.65853,0.0,0.0,0.0,0.0,0.0,88.41201,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0
38,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.17073,0.0,0.0,43.75,0.0,0.0,82.40343,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.09756,0.0,0.0,0.0,0.0,0.0,62.23175,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0
40,56.66666,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26829,0.0,0.0,43.75,0.0,0.0,87.55364,0.0,71.42857,0.0,0.0,0.0,0.0,42.85714,0.0
