,닥터뉴엘 워터풀 스킨베리어 로센스_0,닥터뉴엘 워터풀 스킨베리어 로센스_1,Dr.G 레드 블레미쉬 멀티 플루이드_0,Dr.G 레드 블레미쉬 멀티 플루이드_1,셀라피 에이리페어 오리지날 로션_0,셀라피 에이리페어 오리지날 로션_1,홀리카홀리카 굳세라 수퍼 세라마이드 에멀젼_0,홀리카홀리카 굳세라 수퍼 세라마이드 에멀젼_1,이니스프리 오트 마일드 모이스처 인텐시브 로션_0,이니스프리 오트 마일드 모이스처 인텐시브 로션_1,싸이닉 더 심플 데일리 로션_0,싸이닉 더 심플 데일리 로션_1,피지오겔 데일리 모이스쳐 테라피 페이셜 로션_0,피지오겔 데일리 모이스쳐 테라피 페이셜 로션_1
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,10.11235,0.0,91.22807,17.14285
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83333,17.97752,0.0,63.15789,15.23809
40,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,11.23595,0.0,50.87719,17.14285
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,38.09523,92.98245,21.90476
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23595,0.0,75.43859,28.57142
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,11.23595,38.09523,64.91228,5.71428
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74157,0.0,50.87719,20.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,54.38596,22.85714
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42105,33.33333
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,8.98876,57.14285,71.92982,89.5238
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,24.7191,0.0,47.36842,100.0
49,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,15.73033,76.19047,71.92982,61.90476
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,14.60674,0.0,36.8421,57.14285
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83333,5.61797,28.57142,38.59649,57.14285
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,73.68421,50.47619
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,0.0,33.33333,89.47368,33.33333
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16666,13.48314,0.0,70.17543,44.7619
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,10.11235,52.38095,40.35087,67.61904
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,57.14285,49.1228,51.42857
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86516,28.57142,54.38596,49.5238
58,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.87719,44.7619
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.98876,23.80952,28.07017,38.09523
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,42.85714,57.89473,30.47619
61,210,776309,3810,7428,232358,629,64312,82139,5048,1181076,1061302,1848,1888,53399
